date,trial_num,is_stim,reach_time,reach_direction,rest_end,planning_end,reach_end
2021-09-22,494,1,209,left,500,859,1068
2021-09-22,495,0,236,down,500,931,1167
2021-09-22,496,1,137,right,500,897,1034
2021-09-22,497,1,264,down,500,886,1150
2021-09-22,498,0,205,left,500,861,1066
2021-09-22,499,1,318,right,500,850,1168
2021-09-22,500,0,353,down,500,796,1149
2021-09-22,501,0,641,up,500,810,1451
2021-09-22,502,0,108,right,500,976,1084
2021-09-22,503,1,261,down,500,823,1084
2021-09-22,504,0,105,down,500,945,1050
2021-09-22,505,1,217,right,500,884,1101
2021-09-22,506,1,279,left,500,904,1183
2021-09-22,507,0,118,left,500,983,1101
2021-09-22,508,1,117,right,500,984,1101
2021-09-22,509,1,386,up,500,897,1283
2021-09-22,510,1,252,down,500,913,1165
2021-09-22,511,0,156,right,500,878,1034
2021-09-22,512,1,353,down,500,764,1117
2021-09-22,513,0,384,up,500,783,1167
2021-09-22,514,0,350,down,500,751,1101
2021-09-22,515,1,345,right,500,854,1199
2021-09-22,516,1,338,right,500,761,1099
2021-09-22,517,0,368,up,500,866,1234
2021-09-22,518,1,291,up,500,891,1182
2021-09-22,519,1,373,left,500,745,1118
2021-09-22,520,0,320,up,500,864,1184
2021-09-22,521,1,109,right,500,925,1034
2021-09-22,522,1,148,up,500,869,1017
2021-09-22,523,0,249,left,500,835,1084
2021-09-22,524,0,343,down,500,774,1117
2021-09-22,525,1,296,down,500,838,1134
2021-09-22,526,1,217,right,500,917,1134
2021-09-22,527,1,312,down,500,773,1085
2021-09-22,528,1,315,left,500,785,1100
2021-09-22,529,1,131,down,500,919,1050
2021-09-22,530,1,243,up,500,958,1201
2021-09-22,531,1,305,up,500,897,1202
2021-09-22,532,0,346,left,500,772,1118
2021-09-22,533,0,144,right,500,923,1067
2021-09-22,538,0,251,down,500,899,1150
2021-09-22,539,0,343,right,500,841,1184
2021-09-22,540,1,192,left,500,925,1117
